Content,Video title,Video publish time,Clicks per end screen element shown (%),End screen elements shown,End screen element clicks,Views per playlist start,Views from playlist,Comments added,Shares,Dislikes,Likes,Subscribers lost,Subscribers gained,Average views per viewer,Unique viewers,Returning viewers,New viewers,Average percentage viewed (%),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Wd86QnBeaFH,Artist29 - Song35,"Jan 23, 2024",1.17,7177,84,5,130,4,30,1,254,0,23,1.8445,7947,6283,1504,49.95,0:00:56,14658,229.8299,23,5.854,90550,11.82
bX7Ybgy3um6,Artist30 - Song36,"Nov 29, 2023",0.85,5193,44,11.8571,83,1,5,1,216,5,24,1.7472,9000,6735,1862,39.24,0:00:51,15725,222.8026,19,13.101,113910,7.63
mOqkAWX4hoe,Artist3 - Song3,"Dec 8, 2023",1.49,3627,54,3.5281,314,0,22,0,103,0,9,1.8627,3387,2183,1186,51.61,0:01:14,6309,130.2272,9,10.368,53717,7.3
rl6zdoPtng1,Artist7 - Song37,"Feb 12, 2024",1.34,2763,37,1.494,124,1,6,0,93,2,12,1.4426,4424,2227,2138,41.05,0:01:09,6382,123.6553,10,5.948,75098,6.46
hyb8NtHjPK5,Artist31 - Song38,"Feb 18, 2024",4.04,767,31,3.7,37,4,9,0,63,0,3,1.3285,1446,1109,124,40.12,0:00:56,1921,30.3983,3,1.166,18024,7.34
bQca9dWs1p8,Artist32 - Song39,"Dec 25, 2023",0.33,23599,77,,,3,50,13,573,6,49,1.8819,32280,22785,9108,38.45,0:01:28,60748,1498.8565,43,37.324,470734,8.81
Y0HhLbDn5Lz,Artist33 - Song40,"Jan 4, 2024",1.88,1647,31,9.5625,153,3,8,0,85,0,1,1.5113,2607,1614,972,46.95,0:00:48,3940,53.438,1,2.617,46082,6.19
ak1oFfwjRIa,Artist19 - Song41,"Nov 5, 2023",0.85,9633,82,9.5833,115,2,66,5,286,9,59,1.7235,12930,11698,1063,42.46,0:01:18,22285,489.8657,50,12.067,145689,9.82
f6Bo5zNNzSf,Artist34 - Song42,"Nov 15, 2023",0.36,552,2,7.3571,103,1,1,0,11,0,2,1.9482,502,418,74,65.28,0:01:15,978,20.5706,2,0.99,7639,6.95
PBIie8q480I,Artist35 - Song43,"Feb 16, 2024",4.89,593,29,37,37,2,1,1,31,1,1,1.1628,1241,791,289,34.26,0:00:36,1443,14.6918,0,1.474,13181,7.6
OGbSA1XwIVk,Artist9 - Song44,"Nov 16, 2023",1.01,2777,28,,,0,17,1,54,1,8,2.2776,1812,1647,143,65.17,0:02:16,4127,156.1052,7,6.799,27184,8.8
