content,video_title,video_publish_time,clicks_per_end_screen_element_shown_(%),end_screen_elements_shown,end_screen_element_clicks,views_per_playlist_start,views_from_playlist,comments_added,shares,dislikes,likes,subscribers_lost,subscribers_gained,average_views_per_viewer,unique_viewers,returning_viewers,new_viewers,average_percentage_viewed_(%),average_view_duration,views,watch_time_(hours),subscribers,estimated_revenue_(usd),impressions,impressions_click-through_rate_(%)
wTNWvqDufPJ,Artist18 - Song88,2023-11-14,0.59,71501,423,10.9167,131.0,6,147,31,1639,9,127,2.1632,66144,47441.0,17667.0,45.51,0:01:10,143080,2821.2578,118,84.393,998612,8.31
Ask0ruKFjUf,Artist32 - Song89,2024-01-05,0.65,7980,52,8.0909,178.0,3,27,6,329,1,20,1.4535,16013,11373.0,3581.0,40.8,0:01:04,23275,414.1218,19,15.674,180725,7.56
fc1VlC9oSKc,Artist59 - Song90,2023-10-28,0.5,21193,105,12.0,60.0,0,47,21,555,0,27,1.7994,29977,17962.0,11337.0,49.19,0:01:38,53942,1481.3733,27,75.736,321032,6.82
tYttzaieFAf,Artist9 - Song91,2023-10-27,0.48,471489,2249,21.0,63.0,12,1615,58,3500,40,394,2.3211,254836,89602.0,164367.0,69.67,0:02:13,591508,21862.5374,354,661.926,2900891,7.66
dOIh8JQzQpd,Artist14 - Song92,2023-10-30,0.66,302,2,19.3333,58.0,0,0,0,17,0,0,1.7009,555,530.0,12.0,31.51,0:01:03,944,16.6085,0,0.804,8971,6.61
2e9JSS4Pb4g,Artist35 - Song93,2023-12-18,1.38,725,10,5.475,219.0,1,5,0,33,0,3,1.7879,1028,831.0,191.0,44.22,0:01:17,1838,39.5128,3,1.966,16925,6.31
tCYCVf3c0zb,Artist10 - Song10,2024-02-08,3.78,476,18,9.1818,101.0,1,1,0,28,0,3,1.4137,1332,1088.0,224.0,28.52,0:00:50,1883,26.3494,3,1.652,20997,6.63
LMFtM54z0Np,Artist2 - Song94,2023-12-31,2.79,394,11,9.0625,145.0,1,4,0,30,0,4,1.6068,936,852.0,70.0,43.87,0:01:01,1504,25.8443,4,0.985,13097,7.55
1J0cqIRHDlt,Artist32 - Song95,2024-01-11,0.45,18124,81,6.9167,166.0,2,33,7,403,3,20,1.7394,24394,20991.0,2029.0,37.6,0:00:49,42432,580.5843,17,18.602,337544,8.72
RhGDyvu97ew,Artist11 - Song96,2023-11-11,0.61,19155,116,6.875,110.0,2,59,4,348,1,34,2.0312,15055,10443.0,4542.0,56.41,0:02:06,30580,1073.2803,33,24.388,166377,8.86
